language,iso_code,n_conversations,deference_caution,warmth_rigor,depth_brevity,candor_execution,distinctive_behaviors
Hindi,hi,11534,0.04,-0.49,0.03,0.02,Uses humor and playfulness;Offers reassurance unprompted;Uses polite language
Arabic,ar,13631,-0.08,-0.28,0.10,0.04,Affirms the user's ideas and work;Uses polite language;Adapts its tone to the user's emotional state
English,en,15492,0.10,0.13,-0.09,-0.04,Pushes back on false assumptions with evidence;Refines and corrects details unprompted;Encourages more ambitious goals
Russian,ru,15479,0.0,0.15,0.05,0.0,Gets straight to the point;Asks for supporting evidence;Analyzes people's motivations when providing guidance
Indonesian,id,11243,-0.04,0.0,0.04,0.14,Encourages more ambitious goals;Uses polite language;Frames choices as the user's to make
Dutch,nl,15616,0.0,0.06,0.0,-0.12,Acknowledges its own errors;Gets straight to the point;Frames choices as the user's to make
Thai,th,15463,0.0,-0.11,-0.04,0.03,Uses polite language;Flags risks unprompted;Offers warmth and encouragement
Polish,pl,15534,0.03,0.11,-0.04,0.0,Says when it is unsure;Backs claims with evidence;Pushes back on false assumptions
Japanese,ja,15637,-0.03,-0.07,0.03,-0.08,Acknowledges the user's feelings first;Uses polite language;Uses emotionally warm language
German,de,15622,0.02,0.09,-0.03,-0.06,Suggests consulting qualified professionals;Gets straight to the point;Says when it is unsure
Korean,ko,15570,-0.04,-0.04,0.08,-0.04,Offers comfort without judgment;Mirrors the user's tone and formality;Uses humor and playfulness
Italian,it,15559,0.05,0.08,-0.04,-0.04,Qualifies answers with caveats;Uses precise wording;Maintains a formal tone
Ukrainian,uk,15495,-0.05,0.06,0.04,0.04,Acknowledges the user's feelings first;Gets straight to the point;Suggests self-care and rest
Vietnamese,vi,15379,0.04,0.0,0.0,0.06,Suggests self-care and rest;Analyzes people's motivations when providing guidance;Encourages users to decide for themselves
Spanish,es,15511,-0.02,0.0,-0.06,0.03,Outlines concrete next steps;Teaches with clear explanations;Frames choices as the user's to make
Turkish,tr,15507,-0.04,0.03,0.04,0.0,Flags risks unprompted;States ethical boundaries explicitly;Asks follow-up questions to explore the topic
Chinese,zh,15365,0.03,0.05,-0.02,0.0,Points out competing considerations;Pushes back on false assumptions;Offers comfort without judgment
Romanian,ro,15549,-0.02,0.03,-0.02,0.02,Flags risks unprompted;Frames choices as the user's to make;Suggests consulting qualified professionals
French,fr,15587,0.0,0.0,-0.04,0.0,Teaches with clear explanations;Uses precise wording;Mirrors the user's tone and formality
Portuguese,pt,15489,0.02,0.03,-0.01,0.03,Refines and corrects details unprompted;Adds creative elements to what it produces;Volunteers extra information and options
